,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,FA203MW26PNGTNAFAMZ,Mens Zipper Lightweight Jackets Long Sleeve Coats - Red,https://www.jumia.com.ng/fashion-mens-zipper-lightweight-jackets-long-sleeve-coats-red-116860223.html,"₦ 4,600","₦ 8,200",44%,2022-11-03 22:20:25.055067
1,FA203MW066ROUNAFAMZ,"High Quality Turtleneck Long Sleeve( Black , White , Ash )",https://www.jumia.com.ng/fashion-high-quality-turtleneck-long-sleeve-black-white-ash-81539301.html,"₦ 15,999","₦ 18,000",11%,2022-11-03 22:20:25.195302
2,NI003FS1IR0NFNAFAMZ,Nike Solarsoft 2 Flip Flop Men's,https://www.jumia.com.ng/nike-solarsoft-2-flip-flop-mens-91895919.html,"₦ 19,500",,,2022-11-03 22:20:25.311122
3,FA203FC39RADBNAFAMZ,Hand-woven Leather Alloy Men Bracelet With Guitar Pattern,https://www.jumia.com.ng/fashion-hand-woven-leather-alloy-men-bracelet-with-guitar-pattern-132288779.html,"₦ 2,200","₦ 4,400",50%,2022-11-03 22:20:25.458648
4,DE820MW3AAH3JNAFAMZ,Defacto 2 Pieces Woman Socks - Karma,https://www.jumia.com.ng/defacto-2-pieces-woman-socks-karma-170438689.html,"₦ 1,050","₦ 2,332",55%,2022-11-03 22:20:25.615377
5,AD002FS1H0385NAFAMZ,ADIDAS CORE / NEO SPORT SHOES VL COURT 2.0,https://www.jumia.com.ng/adidas-core-neo-sport-shoes-vl-court-2.0-92832098.html,"₦ 59,975",,,2022-11-03 22:20:25.758904
6,EC579MW2ZHHE5NAFAMZ,ECROU Women Red Basic Cuffed Jogger,https://www.jumia.com.ng/ecrou-women-red-basic-cuffed-jogger-150643508.html,"₦ 3,530","₦ 7,060",50%,2022-11-03 22:20:25.916176
7,MI139FC1HC17TNAFAMZ,Mini Focus Watch Fashion Sports Men Watches Male MF0314G,https://www.jumia.com.ng/mini-focus-watch-fashion-sports-men-watches-male-mf0314g-79018598.html,"₦ 12,030","₦ 19,812",39%,2022-11-03 22:20:26.067897
8,NI003FS1FF3DHNAFAMZ,Nike Venture Runner NSW Men's,https://www.jumia.com.ng/nike-venture-runner-nsw-mens-92646368.html,"₦ 54,500",,,2022-11-03 22:20:26.203014
9,NI003MW0PPK7PNAFAMZ,Nike Slim MB Polo Men's,https://www.jumia.com.ng/nike-slim-mb-polo-mens-79928134.html,"₦ 16,350","₦ 54,500",70%,2022-11-03 22:20:26.371888
10,DE820MW1PJZU0NAFAMZ,Defacto Woman Cropped Fit Shirt Neck Woven Long Sleeve Shirt - Orange,https://www.jumia.com.ng/defacto-woman-cropped-fit-shirt-neck-woven-long-sleeve-shirt-orange-108498330.html,"₦ 3,936","₦ 8,745",55%,2022-11-03 22:20:26.543861
11,FA203FS1WV3Q2NAFAMZ,Summer Pointed High Heels,https://www.jumia.com.ng/fashion-summer-pointed-high-heels-105056651.html,"₦ 5,242","₦ 10,278",49%,2022-11-03 22:20:26.755872
12,FA203MW1USJCXNAFAMZ,Female Office Lady Casual Hot Dress Stretch Off Shoulder Dress,https://www.jumia.com.ng/fashion-female-office-lady-casual-hot-dress-stretch-off-shoulder-dress-131168121.html,"₦ 3,990","₦ 7,199",45%,2022-11-03 22:20:26.980950
13,DE820MW1T32SZNAFAMZ,Defacto Woman SLIM FIT Knitted Athlete-Orange,https://www.jumia.com.ng/defacto-woman-slim-fit-knitted-athlete-orange-134681390.html,"₦ 3,790","₦ 7,579",50%,2022-11-03 22:20:27.170685
14,DE820FS250ZFLNAFAMZ,Defacto Girl Slippers Sandals-Yellow,https://www.jumia.com.ng/defacto-girl-slippers-sandals-yellow-135367392.html,"₦ 2,624","₦ 5,830",55%,2022-11-03 22:20:27.451048
15,FA203MW2BVVXXNAFAMZ,Mens Zipper Lightweight Jackets Long Sleeve Coats - Blue,https://www.jumia.com.ng/fashion-mens-zipper-lightweight-jackets-long-sleeve-coats-blue-116859804.html,"₦ 4,600","₦ 8,200",44%,2022-11-03 22:20:27.712384
16,DE820MW24JZLBNAFAMZ,Defacto Man Chino Trousers - White,https://www.jumia.com.ng/defacto-man-chino-trousers-white-170438582.html,"₦ 6,996","₦ 13,992",50%,2022-11-03 22:20:27.939972
17,GE779FC1PMKRLNAFAMZ,Bifold Wallet - Brown,https://www.jumia.com.ng/generic-bifold-wallet-brown-112990530.html,"₦ 4,400","₦ 9,196",52%,2022-11-03 22:20:28.154209
18,SK135AC0PL2HBNAFAMZ,Skmei Top Luxury Brand Watch Men's Sports Watch Fashion Digital Watches Gift For Male SKM1220,https://www.jumia.com.ng/skmei-top-luxury-brand-watch-mens-sports-watch-fashion-digital-watches-gift-for-male-skm1220-19337924.html,"₦ 8,800","₦ 12,580",30%,2022-11-03 22:20:28.349724
19,FA203AA03Z10JNAFAMZ,6Pack Short Round Neck Plain Shirt-white,https://www.jumia.com.ng/fashion-6pack-short-round-neck-plain-shirt-white-32137660.html,"₦ 12,800","₦ 20,000",36%,2022-11-03 22:20:28.589188
20,DA476MW1N983MNAFAMZ,Danami Queens Are Born In October Birthday T-Shirt- White,https://www.jumia.com.ng/danami-queens-are-born-in-october-birthday-t-shirt-white-64772599.html,"₦ 4,749","₦ 4,999",5%,2022-11-03 22:20:28.791398
21,FA203MW17ZCYENAFAMZ,Short Sleeve Shirt Shorts Casual Streetwear 2 Piece Set,https://www.jumia.com.ng/fashion-short-sleeve-shirt-shorts-casual-streetwear-2-piece-set-83237837.html,"₦ 7,603","₦ 10,392",27%,2022-11-03 22:20:28.979725
22,FA203MW0FYRGFNAFAMZ,2021 Womens Fashion Classic Dress - Multi,https://www.jumia.com.ng/fashion-2021-womens-fashion-classic-dress-multi-72161862.html,"₦ 2,999","₦ 8,600",65%,2022-11-03 22:20:29.175018
23,DE820FC1Z3ZO5NAFAMZ,Defacto Woman Bags Bag - brown,https://www.jumia.com.ng/defacto-woman-bags-bag-brown-133983491.html,"₦ 9,328","₦ 18,656",50%,2022-11-03 22:20:29.364535
24,FA203AA0I6V2BNAFAMZ,Men's Casual Long Sleeve T-Shirts Vintage Printed Shirt Tops,https://www.jumia.com.ng/fashion-mens-casual-long-sleeve-t-shirts-vintage-printed-shirt-tops-38235503.html,"₦ 3,799","₦ 6,500",42%,2022-11-03 22:20:29.611228
