,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,EI556FC33N4U2NAFAMZ,EILIFINTE B06 Casual Crossbody Shoulder Chest Bag-Grey,https://www.jumia.com.ng/eilifinte-b06-casual-crossbody-shoulder-chest-bag-grey-103761578.html,"₦ 2,043","₦ 6,800",70%,2022-11-03 22:03:26.834825
1,GA946FC1BVW58NAFAMZ,GATWIGA 3 IN 1 Bag Set Pencil/Crossbody/Laptop Backpack Grey,https://www.jumia.com.ng/gatwiga-3-in-1-bag-set-pencilcrossbodylaptop-backpack-grey-84992408.html,"₦ 5,200","₦ 15,500",66%,2022-11-03 22:03:27.027091
2,FA203SH1L909QNAFAMZ,Smart Fashion Breathable Unisex Sneakers/Canvas-white,https://www.jumia.com.ng/fashion-smart-fashion-breathable-unisex-sneakerscanvas-white-66385169.html,"₦ 4,200","₦ 4,300 - ₦ 6,900",39%,2022-11-03 22:03:27.168099
3,FA203AA172BVWNAFAMZ,Six Pairs-in-1 Quality Ankle Socks,https://www.jumia.com.ng/fashion-six-pairs-in-1-quality-ankle-socks-40223327.html,"₦ 1,500","₦ 2,500",40%,2022-11-03 22:03:27.303076
4,GA946FC008TZZNAFAMZ,GATWIGA Casual Chest Bag,https://www.jumia.com.ng/gatwiga-casual-chest-bag-72121400.html,"₦ 1,990","₦ 9,500",79%,2022-11-03 22:03:27.430479
5,FA203AC0I7OTQNAFAMZ,Best Friends Love Heart Couple Necklace. Jewelry,https://www.jumia.com.ng/fashion-best-friends-love-heart-couple-necklace.-jewelry-45819503.html,₦ 751,₦ 800,6%,2022-11-03 22:03:27.557393
6,JO089MW11NU19NAFAMZ,Jones Wears Marshmello Printed Hoodie -Black,https://www.jumia.com.ng/jones-wears-marshmello-printed-hoodie-black-50875236.html,"₦ 5,287 - ₦ 9,800","₦ 5,500 - ₦ 9,800",17%,2022-11-03 22:03:27.697394
7,FN017FC1HV7WANAFAMZ,Fngeen 05 Calendar Sporty Waterproof Quartz Men's Watch/Black,https://www.jumia.com.ng/fngeen-05-calendar-sporty-waterproof-quartz-mens-watchblack-81267409.html,"₦ 5,571","₦ 28,000",80%,2022-11-03 22:03:27.813653
8,ME787FC1AJ54WNAFAMZ,MeiJieLuo Men Casual Outdoor Travel Crossbody Bag With USB Port,https://www.jumia.com.ng/meijieluo-men-casual-outdoor-travel-crossbody-bag-with-usb-port-65455187.html,"₦ 1,990","₦ 9,500",79%,2022-11-03 22:03:28.001407
9,WE732FS18DL3KNAFAMZ,2021 Men's Casual Noble Running Sneakers - Black/Gold,https://www.jumia.com.ng/fashion-2021-mens-casual-noble-running-sneakers-blackgold-67963547.html,"₦ 6,199","₦ 13,888",55%,2022-11-03 22:03:28.138480
