,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,LO852EA2N4B2VNAFAMZ,Logitech M280 Wireless Mouse Support Office Test With USB,https://www.jumia.com.ng/logitech-m280-wireless-mouse-support-office-test-with-usb-130546795.html,"₦ 7,000","₦ 13,000",46%,2022-11-03 15:09:28.897682
1,GE779HL0L4CQUNAFAMZ,Foldable Travelling Steam Pressing Iron,https://www.jumia.com.ng/generic-foldable-travelling-steam-pressing-iron-87057453.html,"₦ 7,500",,,2022-11-03 15:09:29.291790
2,OT570EA1XU29YNAFAMZ,Otg 32GB Ultra OTG Micro USB Type-c Lightning 4in1 Flash Drive,https://www.jumia.com.ng/otg-32gb-ultra-otg-micro-usb-type-c-lightning-4in1-flash-drive-143169271.html,"₦ 7,900","₦ 10,000",21%,2022-11-03 15:09:30.017992
3,SE955EL0Y0K5WNAFAMZ,Seagate 100%Genuine Original Seagate 500GB Laptop Internal Hard Drive,https://www.jumia.com.ng/seagate-100genuine-original-seagate-500gb-laptop-internal-hard-drive-67033175.html,"₦ 14,600",,,2022-11-03 15:09:30.329485
4,LE842CL2HX460NAFAMZ,Lenovo V15-IGL Intel Celeron 1TB HDD 4GB RAM Win 10 + 32GB Flash,https://www.jumia.com.ng/lenovo-v15-igl-intel-celeron-1tb-hdd-4gb-ram-win-10-32gb-flash-127803015.html,"₦ 180,000",,,2022-11-03 15:09:30.693646
5,GE779EA0A33ADNAFAMZ,Adapter USB 3.0 Male To Female Type / C OTG USB3.0 A Adapter USB C Converter,https://www.jumia.com.ng/generic-adapter-usb-3.0-male-to-female-type-c-otg-usb3.0-a-adapter-usb-c-converter-98304961.html,"₦ 6,990",,,2022-11-03 15:09:31.049147
6,MI953EA0FXU5KNAFAMZ,"Mini Wifi Adapter MtnNG 4G Wifi Router Cat6 LTE Wifi Mtñ For Home, Office & Business",https://www.jumia.com.ng/mini-wifi-adapter-mtnng-4g-wifi-router-cat6-lte-wifi-mt-for-home-office-business-86927762.html,"₦ 35,500",,,2022-11-03 15:09:31.414421
7,GE779EA1AMX2ANAFAMZ,Two (2) Flexible USB Led Lights For Computers Keyboards & Power Bank,https://www.jumia.com.ng/generic-two-2-flexible-usb-led-lights-for-computers-keyboards-power-bank-81613387.html,"₦ 1,800","₦ 3,300",45%,2022-11-03 15:09:31.925685
8,XP047EL1JHMSCNAFAMZ,XPrinter Auto-Cutter 80mm Thermal POS Receipt Printer - Black,https://www.jumia.com.ng/xprinter-auto-cutter-80mm-thermal-pos-receipt-printer-black-46510239.html,"₦ 39,999",,,2022-11-03 15:09:32.169375
9,FL100EL0PG1AFNAFAMZ,Flexible Keyboard (Black),https://www.jumia.com.ng/flexible-keyboard-black-76583724.html,"₦ 3,900","₦ 7,000",44%,2022-11-03 15:09:32.396751
10,GE779EA14NKNLNAFAMZ,HPCI (High Performance Compartible Ink) 123 Black Ink Advantage Printer Cartridge,https://www.jumia.com.ng/generic-hpci-high-performance-compartible-ink-123-black-ink-advantage-printer-cartridge-79448286.html,"₦ 6,000",,,2022-11-03 15:09:32.574192
11,GE779EA2V93XYNAFAMZ,USB 3.0 To Type-C + Micro Adapter,https://www.jumia.com.ng/generic-usb-3.0-to-type-c-micro-adapter-126452437.html,₦ 999,"₦ 2,800",64%,2022-11-03 15:09:32.788828
12,SA949EL03U8IJNAFAMZ,SanDisk EXTREME PORTABLE 1TB SSD Up To 1050mbps,https://www.jumia.com.ng/sandisk-extreme-portable-1tb-ssd-up-to-1050mbps-36594460.html,"₦ 111,000","₦ 120,000",8%,2022-11-03 15:09:33.015130
13,4U963EA0DBY3XNAFAMZ,Universal Gyro Universal 4G LTE Pocket Wifi Mobile Mifi Hotspot Router,https://www.jumia.com.ng/universal-gyro-universal-4g-lte-pocket-wifi-mobile-mifi-hotspot-router-92429322.html,"₦ 27,790","₦ 60,000",54%,2022-11-03 15:09:33.216124
14,HI625EA1F6PNHNAFAMZ,Hifinit 64GB Metal USB Flash Drive - Silvery +Free Key Ring,https://www.jumia.com.ng/hifinit-64gb-metal-usb-flash-drive-silvery-free-key-ring-79537958.html,"₦ 3,099","₦ 6,076",49%,2022-11-03 15:09:33.440666
15,FA203MW2AOFVBNAFAMZ,Two (2) USB LED Computer Keyboard Light,https://www.jumia.com.ng/generic-two-2-usb-led-computer-keyboard-light-132886883.html,"₦ 2,200","₦ 7,500",71%,2022-11-03 15:09:33.675861
16,GE779EA01B4YGNAFAMZ,Headset Skin {Pink},https://www.jumia.com.ng/generic-headset-skin-pink-65299120.html,"₦ 6,000","₦ 7,500",20%,2022-11-03 15:09:33.879891
17,LO852EA0P28UINAFAMZ,Logitech H151 STEREO Multi-device HEADSET With In-line Controls,https://www.jumia.com.ng/logitech-h151-stereo-multi-device-headset-with-in-line-controls-87159024.html,"₦ 15,500",,,2022-11-03 15:09:34.046725
18,ZT786EA2OLHF9NAFAMZ,ZTE MTNng 4G LTE MiFi Wifi Router With 30Gig Data B Canonus,https://www.jumia.com.ng/zte-mtnng-4g-lte-mifi-wifi-router-with-30gig-data-b-canonus-139454226.html,"₦ 12,190","₦ 19,999",39%,2022-11-03 15:09:34.240454
19,GE779EA0PAMW5NAFAMZ,Type C & Micro USB Male To USB3.0 Female Dual OTG Adapter,https://www.jumia.com.ng/generic-type-c-micro-usb-male-to-usb3.0-female-dual-otg-adapter-92668424.html,"₦ 1,300",,,2022-11-03 15:09:34.400815
20,GE779EL0WHRKKNAFAMZ,MacBook Pro / Air Charger Power Adapter Magsafe1 - MacBooks Pro Models Mid 2012 & Before - L Type,https://www.jumia.com.ng/generic-macbook-pro-air-charger-power-adapter-magsafe1-macbooks-pro-models-mid-2012-before-l-type-69567545.html,"₦ 11,980 - ₦ 14,890","₦ 13,500 - ₦ 17,500",15%,2022-11-03 15:09:34.607387
