,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,BI717DB0I2GQFNAFAMZ,Bigelow Steep Café Organic Oolong - Box Of 50 Tea Bags,https://www.jumia.com.ng/steep-cafe-organic-oolong-box-of-50-tea-bags-bigelow-mpg1635223.html,"₦ 19,500",,,2022-11-03 23:29:41.948001
1,GE779FF2PEVBONAFAMZ,Toilet Flower Deodorant Cleaning Gel Toilet Deodorant,https://www.jumia.com.ng/generic-toilet-flower-deodorant-cleaning-gel-toilet-deodorant-123561636.html,"₦ 4,500",,,2022-11-03 23:29:42.126870
2,GE779CP0OZXAQNAFAMZ,Ziplock Pouch Weed Bag 3.5g (100pcs) Grand Theft Auto,https://www.jumia.com.ng/generic-ziplock-pouch-weed-bag-3.5g-100pcs-grand-theft-auto-89868914.html,"₦ 16,000",,,2022-11-03 23:29:42.290182
3,IN438FF2JEXDLNAFAMZ,India Gate Basmati Rice Feast Rozana - 5kg,https://www.jumia.com.ng/india-gate-basmati-rice-feast-rozana-5kg-179414535.html,"₦ 14,500",,,2022-11-03 23:29:42.462586
4,SE985FF1BDPLTNAFAMZ,Selina Naturally Gourmet Celtic Sea Salt Seaweed Seasoning Shaker 2.3oz,https://www.jumia.com.ng/selina-naturally-gourmet-celtic-sea-salt-seaweed-seasoning-shaker-2.3oz-56618597.html,"₦ 5,950",,,2022-11-03 23:29:42.647700
5,SW155FF4OPQH4NAFAMZ,Swiss Flower Liquid Air Freshener 250ML X4,https://www.jumia.com.ng/swiss-flower-liquid-air-freshener-250ml-x4-200267338.html,"₦ 3,800",,,2022-11-03 23:29:42.803973
6,NA109FF0CUHACNAFAMZ,"Nature'S Heart Chia Seeds, 1 Kg",https://www.jumia.com.ng/natures-heart-chia-seeds-1-kg-67477512.html,"₦ 18,000","₦ 20,000",10%,2022-11-03 23:29:43.112846
7,MA122CP39KUITNAFAMZ,Mama Lemon Dish Washing Liquid Soap 1litre X2,https://www.jumia.com.ng/mama-lemon-dish-washing-liquid-soap-1litre-x2-194778479.html,"₦ 2,800",,,2022-11-03 23:29:43.244203
8,KA461FF1JXR62NAFAMZ,Karma Kafe Turmeric Powder 8 Oz 227g,https://www.jumia.com.ng/karma-kafe-turmeric-powder-8-oz-227g-83735939.html,"₦ 7,800",,,2022-11-03 23:29:43.410168
9,GE779GR0XLEILNAFAMZ,2 In 1 Smoking Pipe With Metal Grinder Weed Crusher,https://www.jumia.com.ng/generic-2-in-1-smoking-pipe-with-metal-grinder-weed-crusher-71952465.html,"₦ 4,274","₦ 6,000",29%,2022-11-03 23:29:43.567703
