,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,GE779SN0R063DNAFAMZ,57mm X 38mm Thermal Pos And Receipt Paper - Half Carton - 50 Rolls,https://www.jumia.com.ng/generic-57mm-x-38mm-thermal-pos-and-receipt-paper-half-carton-50-rolls-92575354.html,"₦ 9,000","₦ 10,000",10%,2022-11-03 23:41:21.771343
1,GE779HL0BPLV1NAFAMZ,6ft Christmas Tree + Free Multicolor Christmas Lights,https://www.jumia.com.ng/generic-6ft-christmas-tree-free-multicolor-christmas-lights-90507691.html,"₦ 22,000",,,2022-11-03 23:41:21.911681
2,GE779HA0AYAZNNAFAMZ,Non Stick Pancake Maker,https://www.jumia.com.ng/generic-non-stick-pancake-maker-70769381.html,"₦ 5,900",,,2022-11-03 23:41:22.067627
3,GE779FD25IQ7ONAFAMZ,4.6Ft*5.9Ft Window Curtain Butterfly Door Curtain-1pc,https://www.jumia.com.ng/generic-4.6ft5.9ft-window-curtain-butterfly-door-curtain-1pc-121240203.html,"₦ 2,190","₦ 4,910",55%,2022-11-03 23:41:22.245641
4,EX454IP0P360KNAFAMZ,CREAM 3D WALLPAPER,https://www.jumia.com.ng/3d-wallpaper-exotic-wallpapers-mpg1236531.html,"₦ 5,999","₦ 6,500",8%,2022-11-03 23:41:22.437552
5,GE779HL0D2WJXNAFAMZ,4ft Christmas Tree + Multicolor Lights,https://www.jumia.com.ng/generic-4ft-christmas-tree-multicolor-lights-90507912.html,"₦ 14,000",,,2022-11-03 23:41:22.577593
6,DP071HA1CFH9NNAFAMZ,"Dp Led Light Led-Light Rechargeable Table Fan, 4000mAh Lithium Battery",https://www.jumia.com.ng/led-light-rechargeable-table-fanwith-battery-dp-mpg1584132.html,"₦ 10,990","₦ 13,050",16%,2022-11-03 23:41:22.715812
7,GE779SN0FU10LNAFAMZ,3 COMPARTMENT DESKTOP ORGANIZER,https://www.jumia.com.ng/generic-3-compartment-desktop-organizer-73259562.html,"₦ 5,600",,,2022-11-03 23:41:22.832313
8,OX980HA1BJTVBNAFAMZ,Ox 18 Plus Wall Fan - 18'' Inch Wall Mounted Fan,https://www.jumia.com.ng/ox-18-plus-wall-fan-18-inch-wall-mounted-fan-72176897.html,"₦ 16,400","₦ 17,000",4%,2022-11-03 23:41:23.015105
9,GE779SN395QU5NAFAMZ,Big Bubble Cushioning Wrap Roll For 1.2mx20m,https://www.jumia.com.ng/generic-big-bubble-cushioning-wrap-roll-for-1.2mx20m-133138769.html,"₦ 13,500","₦ 15,000",10%,2022-11-03 23:41:23.150728
10,PY179HL1394RENAFAMZ,Pyramid Hot Plate Double Burner - Grey,https://www.jumia.com.ng/pyramid-hot-plate-double-burner-grey-89013956.html,"₦ 15,000",,,2022-11-03 23:41:23.257493
11,WI437SK0F029DNAFAMZ,Winner Transfer Luminous Green Light 5 Sheets Iron On Heat Transfer Paper Printable Vinyl For Light & Dark Fabric,https://www.jumia.com.ng/winner-transfer-luminous-green-light-5-sheets-iron-on-heat-transfer-paper-printable-vinyl-for-light-dark-fabric-96179152.html,₦ 495,₦ 971,49%,2022-11-03 23:41:23.395086
12,GE779FD2H6I52NAFAMZ,Stainless Steel Paper Roll Holder Toilet Paper Holder,https://www.jumia.com.ng/generic-stainless-steel-paper-roll-holder-toilet-paper-holder-107298794.html,"₦ 4,898","₦ 5,486",11%,2022-11-03 23:41:23.529750
13,MA452HL0MWQJQNAFAMZ,Master Chef Kids Food Flask & Water Bottle,https://www.jumia.com.ng/kids-food-flask-water-bottle-master-chef-mpg62313.html,"₦ 8,799",,,2022-11-03 23:41:23.643405
14,GE779SN00N7TXNAFAMZ,"3"" X 3"" Sticky Notes",https://www.jumia.com.ng/generic-3-x-3-sticky-notes-73238010.html,"₦ 2,280","₦ 2,400",5%,2022-11-03 23:41:23.782275
15,GE779FD1RUEEZNAFAMZ,15cm Vintage Alloy Bronze Tone Paris Eiffel Tower Figurines-,https://www.jumia.com.ng/generic-15cm-vintage-alloy-bronze-tone-paris-eiffel-tower-figurines-117143270.html,"₦ 1,499","₦ 2,939",49%,2022-11-03 23:41:23.922527
16,BR293FD2Y7QBPNAFAMZ,Brookside White mini roller travel suitcase candy box personality creative wedding candy box luggage trolley case candy toy small storage box,https://www.jumia.com.ng/brookside-white-mini-roller-travel-suitcase-candy-box-personality-creative-wedding-candy-box-luggage-trolley-case-candy-toy-small-storage-box-150000487.html,"₦ 1,008","₦ 2,016",50%,2022-11-03 23:41:24.077448
17,GE779SN2RAQOTNAFAMZ,Big Bubble Cushioning Wrap Roll For 1.2mx20m,https://www.jumia.com.ng/generic-big-bubble-cushioning-wrap-roll-for-1.2mx20m-133138766.html,"₦ 13,500","₦ 15,000",10%,2022-11-03 23:41:24.212750
18,GE779SK1LVW3JNAFAMZ,57PCS Crochet Hooks Set Perfect Crochet Hooks Crochet Hooks Complete,https://www.jumia.com.ng/generic-57pcs-crochet-hooks-set-perfect-crochet-hooks-crochet-hooks-complete-74062279.html,"₦ 4,909","₦ 6,873",29%,2022-11-03 23:41:24.349005
19,MA699HL02VD1KNAFAMZ,Maxi 4- Burner Table Top Gas Cooker - MAXI OC-400,https://www.jumia.com.ng/maxi-4-burner-table-top-gas-cooker-maxi-oc-400-27422840.html,"₦ 19,300","₦ 20,000",4%,2022-11-03 23:41:24.482432
20,GE779IP138E6ZNAFAMZ,Weed Grinder + Weed Roller Machine + 5 Booklets Of Bros Brown Rolling Smoking Papers,https://www.jumia.com.ng/generic-weed-grinder-weed-roller-machine-5-booklets-of-bros-brown-rolling-smoking-papers-76669856.html,"₦ 4,200","₦ 5,500",24%,2022-11-03 23:41:24.614886
21,GE779HL2EIMGSNAFAMZ,Automatic Liquid Soap/Sanitizer Dispenser,https://www.jumia.com.ng/generic-automatic-liquid-soapsanitizer-dispenser-100951354.html,"₦ 11,999","₦ 16,000",25%,2022-11-03 23:41:24.753007
22,GE779HL3AU965NAFAMZ,Quality Rechargeable Electric Mosquito Killer- Bat-Swatter,https://www.jumia.com.ng/generic-quality-rechargeable-electric-mosquito-killer-bat-swatter-135260699.html,"₦ 7,000",,,2022-11-03 23:41:24.878247
23,BR493HA18C9DANAFAMZ,Shake N Take 3 Shake N Take Fruit Juice Blender And Smoothie Maker,https://www.jumia.com.ng/shake-n-take-fruit-juice-blender-and-smoothie-maker-shake-n-take-3-mpg1598612.html,"₦ 8,799",,,2022-11-03 23:41:25.008459
24,GE779HA2FH47DNAFAMZ,Pressing Iron Solar Energy 12volt. Dc Electric Dry Iron,https://www.jumia.com.ng/generic-pressing-iron-solar-energy-12volt.-dc-electric-dry-iron-139152964.html,"₦ 15,500",,,2022-11-03 23:41:25.134853
25,GE779HA38M1S1NAFAMZ,Flat Round White Porcelain Dinner Plate- 6 Pcs,https://www.jumia.com.ng/generic-flat-round-white-porcelain-dinner-plate-6-pcs-139146859.html,"₦ 8,541","₦ 13,700",38%,2022-11-03 23:41:25.269863
26,GE779SN1Z4YLXNAFAMZ,15/25/50pcs - Plain Cartons Inches Medium (004 - 2) (343x179x127mm),https://www.jumia.com.ng/generic-152550pcs-plain-cartons-inches-medium-004-2-343x179x127mm-131248491.html,"₦ 4,520 - ₦ 14,399","₦ 7,000 - ₦ 15,000",35%,2022-11-03 23:41:25.410393
27,GE779FD1N508QNAFAMZ,Super Absorbent Microfiber Hanging Kitchen Cleaning Towels,https://www.jumia.com.ng/generic-super-absorbent-microfiber-hanging-kitchen-cleaning-towels-83903399.html,₦ 949,₦ 999,5%,2022-11-03 23:41:25.547828
28,GE779HL1LZCDDNAFAMZ,10pcs 3D Indoor Studio Decor Circles Wall Stickers,https://www.jumia.com.ng/generic-10pcs-3d-indoor-studio-decor-circles-wall-stickers-50178379.html,"₦ 4,274","₦ 10,800",60%,2022-11-03 23:41:25.688784
29,GE779HL3479T8NAFAMZ,Electric Kettle 2.2L,https://www.jumia.com.ng/generic-electric-kettle-2.2l-100365488.html,"₦ 6,500","₦ 10,000",35%,2022-11-03 23:41:25.828993
30,TO746HL07S796NAFAMZ,Tobi Mini Handheld Fabric Steam Iron,https://www.jumia.com.ng/mini-handheld-fabric-steam-iron-tobi-mpg311907.html,"₦ 7,800","₦ 8,000",3%,2022-11-03 23:41:25.964820
31,GE779HA1WMY9MNAFAMZ,Bee Nest Silicone Ice Mold,https://www.jumia.com.ng/generic-bee-nest-silicone-ice-mold-103748251.html,"₦ 3,500","₦ 5,554",37%,2022-11-03 23:41:26.105152
32,AC833HL0GY2BGNAFAMZ,ActiveO Bedbug And Insect Killer With Diatomaceous Earth - 500g,https://www.jumia.com.ng/bedbug-and-insect-killer-with-diatomaceous-earth-500g-activeo-mpg1593957.html,"₦ 5,999","₦ 7,500",20%,2022-11-03 23:41:26.262268
33,GE779HA11XNGXNAFAMZ,Rechargeable Portable Table Top Mini Fan With Led Light,https://www.jumia.com.ng/generic-rechargeable-portable-table-top-mini-fan-with-led-light-75851736.html,"₦ 8,500",,,2022-11-03 23:41:26.370157
34,GE779FD0N840HNAFAMZ,Adjustable Microwave Shelf / Rack,https://www.jumia.com.ng/generic-adjustable-microwave-shelf-rack-71690093.html,"₦ 8,700",,,2022-11-03 23:41:26.485203
35,GE779HL0AR9J6NAFAMZ,Rechargeable Electric Mosquito Killer- Bat-Swatter,https://www.jumia.com.ng/generic-rechargeable-electric-mosquito-killer-bat-swatter-62286081.html,"₦ 3,829",,,2022-11-03 23:41:26.602440
36,GE779FD37ZBY3NAFAMZ,Electric Stove Hotplate Hotplate Mini Stove,https://www.jumia.com.ng/generic-electric-stove-hotplate-hotplate-mini-stove-138240849.html,"₦ 4,750","₦ 5,000",5%,2022-11-03 23:41:26.747761
37,GE779HL0KLC2TNAFAMZ,Wooden Spoons Set And Portable Mortal & Pestle,https://www.jumia.com.ng/generic-wooden-spoons-set-and-portable-mortal-pestle-94778543.html,"₦ 6,000","₦ 8,000",25%,2022-11-03 23:41:26.889932
38,GE779FD307M05NAFAMZ,Vintage Old Telephone Table Clock,https://www.jumia.com.ng/generic-vintage-old-telephone-table-clock-173635718.html,"₦ 4,700","₦ 7,800",40%,2022-11-03 23:41:27.029764
39,GE779LB2PVKZPNAFAMZ,Remote Control Bedroom LED Table Lamp Touch Control 3 Gear Dimming,https://www.jumia.com.ng/generic-remote-control-bedroom-led-table-lamp-touch-control-3-gear-dimming-139269346.html,"₦ 9,800","₦ 13,899",29%,2022-11-03 23:41:27.172567
40,EA331HA0BIZX5NAFAMZ,Beldray 750W Vacuum Cleaner With Bagless Dust Tank,https://www.jumia.com.ng/2000w-vacuum-cleaner-with-bagless-dust-tank-easy-home-mpg1584880.html,"₦ 38,999",,,2022-11-03 23:41:27.305495
41,GE779HA06HM2MNAFAMZ,15 Bar Expresso And Coffee Maker With Frother,https://www.jumia.com.ng/generic-15-bar-expresso-and-coffee-maker-with-frother-45499801.html,"₦ 39,000","₦ 52,000",25%,2022-11-03 23:41:27.434959
42,GE779HL2DXG4ZNAFAMZ,300W Solar Flood Light For Outdoor Or Indoor Lighting,https://www.jumia.com.ng/generic-300w-solar-flood-light-for-outdoor-or-indoor-lighting-132972344.html,"₦ 24,750","₦ 30,000",18%,2022-11-03 23:41:27.565220
43,GE779HA2QXPTWNAFAMZ,"50pcs Plain Ziplock Nylon Food Storage Bag- (L) - 12.5""×10""",https://www.jumia.com.ng/generic-50pcs-plain-ziplock-nylon-food-storage-bag-l-12.510-129457166.html,"₦ 5,999","₦ 7,500",20%,2022-11-03 23:41:27.694658
44,GE779EA0WGIQONAFAMZ,Electric Hand Mixer Egg Beater 7-Speed Easy Mix,https://www.jumia.com.ng/generic-electric-hand-mixer-egg-beater-7-speed-easy-mix-69481545.html,"₦ 8,260","₦ 16,196",49%,2022-11-03 23:41:27.835165
45,GE779HA1BNMT1NAFAMZ,Set Of Non-stick Pots With Fry Pan,https://www.jumia.com.ng/generic-set-of-non-stick-pots-with-fry-pan-79544008.html,"₦ 32,500","₦ 39,800",18%,2022-11-03 23:41:27.969770
46,SW155HL1L0RMUNAFAMZ,Swiss Jardin Air Freshener – Lemon Grass – Kandora,https://www.jumia.com.ng/swiss-jardin-air-freshener-lemon-grass-kandora-62937759.html,"₦ 3,800","₦ 5,000",24%,2022-11-03 23:41:28.110116
47,GE779IP20Y3ATNAFAMZ,HandHeld Electric Inverter Welding Machine 120A,https://www.jumia.com.ng/generic-handheld-electric-inverter-welding-machine-120a-133922522.html,"₦ 70,000","₦ 75,000",7%,2022-11-03 23:41:28.247186
48,GE779FD0OCRB4NAFAMZ,RICH GREY SHAGGY CENTER RUG,https://www.jumia.com.ng/generic-rich-grey-shaggy-center-rug-84060904.html,"₦ 65,000 - ₦ 75,000",,,2022-11-03 23:41:28.358839
49,GE779HL0FREL6NAFAMZ,6kg Gas Cylinder+ Stainless Gas Cooker Complete,https://www.jumia.com.ng/generic-6kg-gas-cylinder-stainless-gas-cooker-complete-85827462.html,"₦ 31,500","₦ 35,000",10%,2022-11-03 23:41:28.518201
