,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,OR537EA0GCOTBNAFAMZ,Oraimo Power Bank OPB-P206DN 20000mAh,https://www.jumia.com.ng/oraimo-power-bank-opb-p206dn-20000mah-78856472.html,"₦ 10,498","₦ 15,761",33%,2022-11-03 11:04:47.379255
1,OR537EA0U06Z2NAFAMZ,Oraimo 27000mAh Massive Power Charing Bank Traveller 3 Byte,https://www.jumia.com.ng/27000mah-massive-power-charing-bank-traveller-3-byte-oraimo-mpg1669347.html,"₦ 17,798","₦ 43,529",59%,2022-11-03 11:04:47.775552
2,GE779MT1JXC40NAFAMZ,Winwolf Wireless Fingerprint Touch Bluetooth Headset Earphone With Power Display,https://www.jumia.com.ng/winwolf-wireless-fingerprint-touch-bluetooth-headset-earphone-with-power-display-42243939.html,"₦ 4,090","₦ 8,131",50%,2022-11-03 11:04:48.354395
3,OR537EA0JIWHCNAFAMZ,Oraimo FreePods-3 2Baba Edition BT5.2 Wireless Stereo Earbuds ENC Calling Noise Cancellation,https://www.jumia.com.ng/oraimo-freepods-3-2baba-edition-bt5.2-wireless-stereo-earbuds-enc-calling-noise-cancellation-80649723.html,"₦ 16,898","₦ 24,900",32%,2022-11-03 11:04:48.898337
4,GE779EA04S6GCNAFAMZ,Deco Gear Wireless Earpods Bluetooth 5.0 Fingerprint In-Ear Earbuds,https://www.jumia.com.ng/deco-gear-wireless-earpods-bluetooth-5.0-fingerprint-in-ear-earbuds-69133080.html,"₦ 3,377","₦ 6,330",47%,2022-11-03 11:04:49.461083
5,IT724EA2XCVGINAFAMZ,itel Fast Charging 20000 MAh Star 200 Power Bank,https://www.jumia.com.ng/20000mah-dual-output-fast-charging-star-200-power-bank-itel-mpg1669336.html,"₦ 7,400","₦ 9,500",22%,2022-11-03 11:04:50.056248
6,GE779EA1JIENRNAFAMZ,Fingerprint Touch Bluetooth Headset Noise-cancelling Stereo Headset,https://www.jumia.com.ng/generic-fingerprint-touch-bluetooth-headset-noise-cancelling-stereo-headset-78673239.html,"₦ 2,990","₦ 5,184",42%,2022-11-03 11:04:50.515628
7,IN717MP1O0C4GNAFAMZ,"Infinix Smart 6, 6.6"", 2GB/32GB, 5000MAh, Android 11 -Midnight Black",https://www.jumia.com.ng/infinix-smart-6-6.6-2gb32gb-5000mah-android-11-midnight-black-127629700.html,"₦ 62,000","₦ 68,500",9%,2022-11-03 11:04:50.694527
8,IN717MP2XYIQONAFAMZ,"Infinix Smart 6 4G, 2GB/32GB Memory - Polar Black",https://www.jumia.com.ng/smart-6-4g-2gb32gb-memory-polar-black-infinix-mpg1662449.html,"₦ 65,000","₦ 66,000",2%,2022-11-03 11:04:50.900607
9,SA948MP37D80GNAFAMZ,"Samsung Galaxy A13, 4GB/128GB Memory - Black",https://www.jumia.com.ng/samsung-galaxy-a13-4gb128gb-memory-black-125727739.html,"₦ 129,000","₦ 130,000",1%,2022-11-03 11:04:51.238775
10,GE779EA10Z24FNAFAMZ,Smart Bluetooth Watches For Ios And Android Bands,https://www.jumia.com.ng/generic-smart-bluetooth-watches-for-ios-and-android-bands-78810126.html,"₦ 3,080","₦ 5,976",48%,2022-11-03 11:04:51.576183
11,GE779EA0A8EY0NAFAMZ,Ace Elec F9 Wireless Fingerprint Touch Headphones Hifi Stereo Noise Cancelling Headsets,https://www.jumia.com.ng/ace-elec-f9-wireless-fingerprint-touch-headphones-hifi-stereo-noise-cancelling-headsets-67788171.html,"₦ 3,980","₦ 9,389",58%,2022-11-03 11:04:51.894113
12,GE779MT37A8ZWNAFAMZ,F9 Fingerprint Bluetooth Earphone Battery LED 2200mAH Power,https://www.jumia.com.ng/generic-f9-fingerprint-bluetooth-earphone-battery-led-2200mah-power-106043639.html,"₦ 3,900","₦ 7,647",49%,2022-11-03 11:04:52.193006
13,IT724EA2A5TLONAFAMZ,itel 10000MAh Star100 Fast Charging Powerbank - Black,https://www.jumia.com.ng/super-slim-10000mah-2.1a-fast-charging-power-bank-itel-mpg1669445.html,"₦ 5,500","₦ 6,000",8%,2022-11-03 11:04:52.586489
14,SA948MP1UYY9YNAFAMZ,"Samsung Galaxy A03, 4GB/64GB Memory - Black",https://www.jumia.com.ng/samsung-galaxy-a03-4gb64gb-memory-black-128358421.html,"₦ 88,000","₦ 95,000",7%,2022-11-03 11:04:52.945353
15,GE779EA1M76ABNAFAMZ,Wireless Bluetooth Earphones Headset HIF Stereo Sound Black,https://www.jumia.com.ng/generic-wireless-bluetooth-earphones-headset-hif-stereo-sound-black-76425779.html,"₦ 2,952","₦ 4,990",41%,2022-11-03 11:04:53.303864
16,FL585EA0I41P9NAFAMZ,Floveme Power Banks 20000 MAh Utra Slim Portable Fast Charger,https://www.jumia.com.ng/floveme-power-banks-20000-mah-utra-slim-portable-fast-charger-71912403.html,"₦ 8,400","₦ 17,647",52%,2022-11-03 11:04:53.790487
17,GE779EA2TE2RINAFAMZ,Ring Light and Tripod Stand,https://www.jumia.com.ng/generic-ring-light-and-tripod-stand-128979207.html,"₦ 8,800",,,2022-11-03 11:04:54.082688
18,GE779EA0GUJOONAFAMZ,Bluetooth 5.0 PRO3 Wireless Earphone Waterproof Earbuds Air3 Business Big Batteries Headset,https://www.jumia.com.ng/generic-bluetooth-5.0-pro3-wireless-earphone-waterproof-earbuds-air3-business-big-batteries-headset-84099282.html,"₦ 2,980","₦ 5,340",44%,2022-11-03 11:04:54.445616
19,GE779EA18Z5G7NAFAMZ,Solar Power Banks 20000mAh 2 Outputs -Orange,https://www.jumia.com.ng/generic-solar-power-banks-20000mah-2-outputs-orange-72134557.html,"₦ 9,450","₦ 15,529",39%,2022-11-03 11:04:54.919060
20,AM515EA1IALX9NAFAMZ,F9 Fingerprint Touch Bluetooth Earphone Earbuds Power 2200mAH,https://www.jumia.com.ng/generic-f9-fingerprint-touch-bluetooth-earphone-earbuds-power-2200mah-73249119.html,"₦ 3,852","₦ 8,471",55%,2022-11-03 11:04:55.359798
21,OR537EA16HSJ2NAFAMZ,Oraimo Riff Smaller For Comfort True Wireless Earbuds -Black,https://www.jumia.com.ng/oraimo-riff-smaller-for-comfort-true-wireless-earbuds-black-89937317.html,"₦ 12,398","₦ 16,560",25%,2022-11-03 11:04:55.732250
22,TE339MP2FPS69NAFAMZ,"Tecno Camon 18i, 4GB/128GB Memory - Blue",https://www.jumia.com.ng/tecno-camon-18i-4gb128gb-memory-blue-150592374.html,"₦ 89,000","₦ 105,000",15%,2022-11-03 11:04:56.113179
23,IN717MT1W80GTNAFAMZ,"Infinix Hot 11S, 6.7"" IPS LCD Screen, 4GB/64GB Memory, 50MP Triple Camera, 5000 mAh Battery, Android 11 - Green Wave",https://www.jumia.com.ng/infinix-hot-11s-6.7-ips-lcd-screen-4gb64gb-memory-50mp-triple-camera-5000-mah-battery-android-11-green-wave-114778541.html,"₦ 85,000",,,2022-11-03 11:04:56.545849
24,IN717MP20ZUQTNAFAMZ,"Infinix Hot 12 Play, 4GB/64GB Memory - Racing Black",https://www.jumia.com.ng/infinix-hot-12-play-4gb64gb-memory-racing-black-175150622.html,"₦ 85,500","₦ 91,000",6%,2022-11-03 11:04:57.081152
25,GE779EA2RZGABNAFAMZ,116Plus Full Touch Screen Waterproof Sports Smart Watch,https://www.jumia.com.ng/generic-116plus-full-touch-screen-waterproof-sports-smart-watch-115063976.html,"₦ 3,391","₦ 6,647",49%,2022-11-03 11:04:57.613389
26,AM515EA1LVAG2NAFAMZ,F9 Fingerprint Touch LED Bluetooth Earphone 2200mAH,https://www.jumia.com.ng/generic-f9-fingerprint-touch-led-bluetooth-earphone-2200mah-68979179.html,"₦ 3,800","₦ 7,451",49%,2022-11-03 11:04:58.055645
27,BL416MP173FVGNAFAMZ,Blackview FS-Android Smartphone Oscal C20 Dual-SIM 3G 1+32GB 6.088 Inch Screen -Black,https://www.jumia.com.ng/blackview-fs-android-smartphone-oscal-c20-dual-sim-3g-132gb-6.088-inch-screen-black-82048327.html,"₦ 47,002","₦ 87,990",47%,2022-11-03 11:04:58.515436
28,TE339MP2S4O4XNAFAMZ,"Tecno Camon 18i, 4GB/128GB Memory - Grey",https://www.jumia.com.ng/tecno-camon-18i-4gb128gb-memory-grey-150597186.html,"₦ 88,000","₦ 105,000",16%,2022-11-03 11:04:59.050788
29,GE779EA0X85PVNAFAMZ,F9 Fingerprint Touch Bluetooth Earphone Power LED 2600mAh,https://www.jumia.com.ng/generic-f9-fingerprint-touch-bluetooth-earphone-power-led-2600mah-78970855.html,"₦ 3,902","₦ 8,000",51%,2022-11-03 11:04:59.537641
30,GE779EA0BOC3GNAFAMZ,F9 Wireless Bluetooth 5.0 Waterproof Sports Headphones,https://www.jumia.com.ng/generic-f9-wireless-bluetooth-5.0-waterproof-sports-headphones-69111691.html,"₦ 4,190","₦ 13,000",68%,2022-11-03 11:05:00.014118
31,IT724EA0ASPMINAFAMZ,"itel 2 USB Port, 2.4A Faster Charger With Free Fast Cable - White",https://www.jumia.com.ng/itel-2-usb-port-2.4a-faster-charger-with-free-fast-cable-white-83753181.html,"₦ 2,990","₦ 5,000",40%,2022-11-03 11:05:00.427074
32,GE779EA0BJGTTNAFAMZ,Bluetooth Air PRO3 Wireless Headset HIFI Earbuds Fashion Earphone,https://www.jumia.com.ng/generic-bluetooth-air-pro3-wireless-headset-hifi-earbuds-fashion-earphone-94048391.html,"₦ 3,787","₦ 6,999",46%,2022-11-03 11:05:00.779337
33,GE779EA2QGMI0NAFAMZ,Wireless Bluetooth Earphone Noise Cancelling Headset Earbud,https://www.jumia.com.ng/generic-wireless-bluetooth-earphone-noise-cancelling-headset-earbud-142087356.html,"₦ 3,100","₦ 4,950",37%,2022-11-03 11:05:01.259924
34,AP044MP1Q2V3WNAFAMZ,IPhone X 3GB RAM+64GB(Renewed) -Black,https://www.jumia.com.ng/renewed-iphone-x-3gb-ram64gbrenewed-black-102896240.html,"₦ 168,998","₦ 371,765",55%,2022-11-03 11:05:01.811532
35,GE779EA2D633BNAFAMZ,Smart Watch Full Touch Screen Watch - For Android & IOS,https://www.jumia.com.ng/generic-smart-watch-full-touch-screen-watch-for-android-ios-130315034.html,"₦ 5,026","₦ 9,588",48%,2022-11-03 11:05:02.449912
36,GE779EA2YJ7XVNAFAMZ,Smart Watch Full Touch Screen Watch - For Android & IOS,https://www.jumia.com.ng/generic-smart-watch-full-touch-screen-watch-for-android-ios-115063987.html,"₦ 4,687","₦ 8,608",46%,2022-11-03 11:05:02.944384
37,AP044MP1GZ92VNAFAMZ,IPhone 6 16GB(Refurbished ) - Gold - 4.7 Inch Grade A,https://www.jumia.com.ng/renewed-iphone-6-16gbrefurbished-gold-4.7-inch-grade-a-95748988.html,"₦ 43,000","₦ 85,000",49%,2022-11-03 11:05:03.477706
38,GE779EA2M148JNAFAMZ,Y68 Smart Bluetooth Watches For Ios And Android Bands,https://www.jumia.com.ng/generic-y68-smart-bluetooth-watches-for-ios-and-android-bands-115063975.html,"₦ 3,391","₦ 6,647",49%,2022-11-03 11:05:04.058503
39,CU514MP2H9RJTNAFAMZ,"Cubot Note 8, 5.5"", 2GB+16GB, Android 11,3100mAh,4G Dual SIM-Green",https://www.jumia.com.ng/cubot-note-8-5.5-2gb16gb-android-113100mah4g-dual-sim-green-133414994.html,"₦ 42,768","₦ 71,880",41%,2022-11-03 11:05:04.572600
40,QC019EA2UGTPTNAFAMZ,Qcy T13 Bluetooth Headsets BT 5.1 Earphones IPX5 Headphone 40H,https://www.jumia.com.ng/qcy-t13-bluetooth-headsets-bt-5.1-earphones-ipx5-headphone-40h-114850127.html,"₦ 10,498","₦ 19,800",47%,2022-11-03 11:05:05.087417
41,GE779EA0MQ9MFNAFAMZ,Air Pro 6 Bluetooth Earphone Earbuds Headset For Android IOS,https://www.jumia.com.ng/generic-air-pro-6-bluetooth-earphone-earbuds-headset-for-android-ios-97077183.html,"₦ 3,298","₦ 7,843",58%,2022-11-03 11:05:05.600000
42,XI363MP233OI3NAFAMZ,XIAOMI Redmi 9A 2GB/32GB - Granite Grey,https://www.jumia.com.ng/xiaomi-redmi-9a-2gb32gb-granite-grey-132924162.html,"₦ 56,800","₦ 65,000",13%,2022-11-03 11:05:06.116729
