,product_id,product_name,product_link,product_price,product_old_price,product_discount,Date
0,GE779EA3A1MKCNAFAMZ,"Xiletu Longer Shaft D-Ring Screw 3/8""-16 Thread Camera Pack",https://www.jumia.com.ng/generic-xiletu-longer-shaft-d-ring-screw-38-16-thread-camera-pack-188507289.html,"₦ 12,917","₦ 22,834",43%,2022-11-03 23:30:37.125941
1,GE779EA1QPNX0NAFAMZ,Puluz Dual Handheld Filmmaking Recording Vlogging Video Rig,https://www.jumia.com.ng/generic-puluz-dual-handheld-filmmaking-recording-vlogging-video-rig-188533350.html,"₦ 24,105","₦ 45,210",47%,2022-11-03 23:30:37.503092
2,GE779EA2OBQF0NAFAMZ,Sponge Smartphone Camera Tripod Anti-Shake For Huawei Enjoy,https://www.jumia.com.ng/generic-sponge-smartphone-camera-tripod-anti-shake-for-huawei-enjoy-188509716.html,"₦ 12,642","₦ 22,284",43%,2022-11-03 23:30:37.731817
3,GE779EA2AUBVONAFAMZ,Zuochen Camera Tripod 70inches Compact Lightweight Aluminum,https://www.jumia.com.ng/generic-zuochen-camera-tripod-70inches-compact-lightweight-aluminum-188534193.html,"₦ 24,105","₦ 45,210",47%,2022-11-03 23:30:37.977171
4,GE779EA2QNM15NAFAMZ,Mini Tripod 2-Section Extendable Desktop Tripod Stand,https://www.jumia.com.ng/generic-mini-tripod-2-section-extendable-desktop-tripod-stand-190040756.html,"₦ 3,600","₦ 7,190",50%,2022-11-03 23:30:38.349912
5,GE779EA1TILY0NAFAMZ,210cm Photography Selfie Tripod 1/4 Screw Adjustable Tripod,https://www.jumia.com.ng/generic-210cm-photography-selfie-tripod-14-screw-adjustable-tripod-188234001.html,"₦ 12,080","₦ 24,160",50%,2022-11-03 23:30:38.578480
6,GE779EA2VE1ICNAFAMZ,"Professional Foldable Camera Tripod Holder Stand 1/4"" Screw",https://www.jumia.com.ng/generic-professional-foldable-camera-tripod-holder-stand-14-screw-188555637.html,"₦ 13,087","₦ 23,174",44%,2022-11-03 23:30:38.875892
7,GE779EA1OXD3ONAFAMZ,Adjustable Wig Head Stand Tripod Holder Mannequin Tripod,https://www.jumia.com.ng/generic-adjustable-wig-head-stand-tripod-holder-mannequin-tripod-188533320.html,"₦ 31,023","₦ 59,046",47%,2022-11-03 23:30:39.166767
8,GE779EA23N50ANAFAMZ,Portable Tripod Stand Phone Camera Stand + Remote Control,https://www.jumia.com.ng/generic-portable-tripod-stand-phone-camera-stand-remote-control-187705072.html,"₦ 6,900","₦ 13,800",50%,2022-11-03 23:30:39.426212
9,GE779EA2BAHFSNAFAMZ,Outdoor Indoor Portable Stand=Tripod + Mobile Phone Clip + Remote Control,https://www.jumia.com.ng/generic-outdoor-indoor-portable-standtripod-mobile-phone-clip-remote-control-188279893.html,"₦ 7,922","₦ 15,844",50%,2022-11-03 23:30:39.689949
10,GE779EA25D2E2NAFAMZ,Andoer Photography Camera Tripod Stand Lightweight Aluminum,https://www.jumia.com.ng/generic-andoer-photography-camera-tripod-stand-lightweight-aluminum-185004992.html,"₦ 31,216","₦ 60,432",48%,2022-11-03 23:30:39.925294
11,GE779EA2VJSNBNAFAMZ,Outdoor Indoor Portable Stand=Tripod + Mobile Phone Clip + Remote Control,https://www.jumia.com.ng/generic-outdoor-indoor-portable-standtripod-mobile-phone-clip-remote-control-193042937.html,"₦ 8,540","₦ 12,840",33%,2022-11-03 23:30:40.196274
