,file_name,file_datetime,has_bf_label,product_name,product_categories,product_price,product_old_price,product_percentage
0,1-to-1-gluten-free-baking-flour-44oz-2lbs-1.24kg-bobs-red-mill-mpg1636954.html,2022-11-25 06:30:55.770078,1,"Bob'S Red Mill 1 To 1 Gluten Free Baking Flour, 44oz 2lbs 1.24Kg","Grocery,Cooking & Baking,Flours & Meals,Barley Flour","₦ 11,000",,
1,1-to-1-gluten-free-baking-flour-64oz-4lbs-bobs-red-mill-mpg1646647.html,2022-11-25 06:26:38.328533,0,"Bob'S Red Mill 1 To 1 Gluten Free Baking Flour, 64oz 4lbs","Grocery,Cooking & Baking,Flours & Meals,Barley Flour","₦ 16,800",,
2,10-litres-heavy-duty-stand-mixer-sokany-mpg1673224.html,2022-11-25 06:21:12.561907,1,Sokany 10 Litres Heavy Duty Stand Mixer,"Home & Office,Small & Cooking Appliances,Small Appliances,Mixing & Blending","₦ 140,000",,
3,100-genuine-original-650va-ups-metal-blue-gate-mpg1578484.html,2022-11-25 06:30:27.137640,1,Blue Gate 100% Genuine Original 650VA UPS - Metal,"Electronics,Accessories & Supplies,Power Protection,Uninterrupted Power Supply (UPS)","₦ 39,500",,
4,100-genuine-original-dtp-bluetooth-pos-mobile-thermal-printer-58mm-dtp-mpg1565641.html,2022-11-25 06:09:01.119477,0,Dtp 100% Genuine Original DTP Bluetooth POS Mobile Thermal Printer 58mm,"Computing,Computers,Printers,Laser Printers","₦ 20,000",,
5,100-genune-bluegate-2000va-ups-blue-gate-mpg1432517.html,2022-11-25 06:31:11.857987,1,Blue Gate 100% Genune BLUEGATE 2000VA UPS,"Electronics,Accessories & Supplies,Power Protection,Uninterrupted Power Supply (UPS)","₦ 89,500",,
6,10000g-353oz-big-capacity-digital-scale-food-materials-weighing-kitchen-tool-intl-generic-mpg1234171.html,2022-11-25 06:16:42.593006,1,10000g 353oz Big Capacity Digital Scale Food Materials Weighing Kitchen Tool - Intl,"Home & Office,Home & Kitchen,Kitchen & Dining,Kitchen Utensils & Gadgets,Measuring Tools & Scales,Spoons","₦ 4,741","₦ 4,990",5%
7,10000mah-virgin-power-bank-black-new-age-mpg1576481.html,2022-11-25 06:12:21.459110,0,New Age 10000mAh Virgin Power Bank - Black,"Phones & Tablets,Tablets,Tablet Accessories,Power Banks","₦ 5,400","₦ 10,000",46%
8,1000rganic-matcha-green-tea100gramsbest-quality.-a2z-ancient-herbs-mpg1534695.html,2022-11-25 06:28:28.969881,0,"A2Z ANCIENT HERBS 100%0rganic Matcha GREEN TEA,100grams,BEST QUALITY.","Grocery,Beverages,Coffee, Tea & Cocoa,Tea,Green","₦ 3,999","₦ 10,000",60%
9,100kg-electronic-digital-scale-camry-mpg1579578.html,2022-11-25 06:22:39.582894,0,Camry 100kg Electronic Digital Scale,"Home & Office,Home & Kitchen,Kitchen & Dining,Kitchen Utensils & Gadgets,Measuring Tools & Scales","₦ 28,900",,
10,100pcs-air-fryer-disposable-parchment-paper-non-stick-air-generic-mpg1672451.html,2022-11-25 06:18:12.779625,0,100Pcs Air Fryer Disposable Parchment,"Home & Office,Home & Kitchen,Kitchen & Dining,Small Appliances,Air Fryers","₦ 6,592","₦ 10,218",35%
11,10kva-servo-centrial-stabilizer-80v-280v-jordy-ele-mpg323403.html,2022-11-25 06:30:33.725187,1,JORDY ELE 10KVA SERVO CENTRIAL STABILIZER 80V-280V,"Electronics,Accessories & Supplies,Power Protection,Uninterrupted Power Supply (UPS)","₦ 185,000",,
12,10moons-1060-plus-graphic-tablet-106-inch-large-board-137217286.html,2022-11-25 06:09:04.840649,1,10moons 1060 Plus Graphic Tablet 10*6-inch Large Board,"Computing,Computer Accessories,Input Devices,Graphics Tablets","₦ 19,780","₦ 61,600",68%
13,10moons-battery-free-stylus-pen-8192-pressure-levels-106885232.html,2022-11-25 06:10:03.625394,0,10moons Battery-free Stylus Pen 8192 Pressure Levels,"Computing,Computer Accessories,Input Devices,Digital Pens","₦ 5,820","₦ 7,280",20%
14,115plus-smartwatch-bracelet-heart-rate-monitor-bloodpressure-generic-mpg1234271.html,2022-11-25 06:10:28.246583,0,115 Smartwatch Bracelet Heart Rate Monitor Blood Pressure,"Phones & Tablets,Mobile Phone Accessories,Smart Watches","₦ 3,700","₦ 6,000",38%
15,11l-electric-oven-bakingtoastingre-heating-grilling-century-mpg1622618.html,2022-11-25 06:22:02.769179,1,"Century 11L Electric Oven -Baking,Toasting,Re-heating & Grilling","Home & Office,Small & Cooking Appliances,Cooking Appliances,Cook Top","₦ 17,900","₦ 25,000",28%
16,11l-electric-oven-cov-8320-b-century-mpg1662354.html,2022-11-25 06:24:21.518397,1,Century 11L Electric Oven - COV 8320-B,"Home & Office,Home & Kitchen,Kitchen & Dining,Small Appliances,Ovens & Toasters","₦ 16,800","₦ 25,000",33%
17,12-cards-of-aa-lr6-1.5voltage-alkaline-battery-duracell-mpg1237214.html,2022-11-25 06:18:26.277837,0,Duracell 12 Cards Of AA LR6 1.5Voltage Alkaline Battery,"Electronics,Accessories & Supplies,Batteries, Chargers & Accessories,Household Batteries,AA","₦ 10,200","₦ 40,000",75%
18,12-inches-rechargeable-table-fan-with-portable-handle-led-light-chargefull-indicator-century-mpg1642894.html,2022-11-25 06:21:57.575078,1,"Century 12 Inches Rechargeable Table Fan With Portable Handle, LED Light & Charge/Full Indicator","Home & Office,Home & Kitchen,Heaters, Air Cooling & Purification,Household Fans,Rechargeable Fans","₦ 27,999","₦ 30,000",7%
19,12-pieces-face-towel-white-generic-mpg292469.html,2022-11-25 06:19:17.183100,0,12 Pieces Face Towel -- White,"Home & Office,Home & Kitchen,Bath,Towels,Hand Towels","₦ 5,850",,
20,12.5kg-gas-cylinder-2-burner-cooker-regulator-hose-cepsa-mpg1642910.html,2022-11-25 06:18:14.106892,0,"Cepsa 12.5kg Gas  Cylinder, 2 Burner Cooker, Regulator & Hose","Home & Office,Small & Cooking Appliances,Cooking Appliances,Kitchen Bundle","₦ 48,999","₦ 55,000",11%
21,12.5kg-gas-cylinder-with-metered-regulator-hose-clips-cepsa-mpg1189719.html,2022-11-25 06:21:40.049089,0,"Cepsa 12.5kg Gas Cylinder With Metered Regulator, Hose & Clips","Home & Office,Small & Cooking Appliances,Cooking Appliances,Cook Top,Gas","₦ 37,500","₦ 45,000",17%
22,12.5kg-gas-cylinderglass-top-2-burnerregulator-hoseclips-cepsa-mpg1580491.html,2022-11-25 06:18:11.067301,0,"Cepsa 12.5kg Gas Cylinder,Glass Top 2 Burner,Regulator, Hose/Clips","Home & Office,Small & Cooking Appliances,Cooking Appliances,Cookers,Gas Cookers,Glass-Top","₦ 45,999","₦ 49,000",6%
23,128gb-cruzer-glide-3.0-usb-flash-drive-sandisk-mpg1662875.html,2022-11-25 06:06:16.195076,0,SanDisk 128GB Cruzer Glide 3.0 USB Flash Drive - Black,"Computing,Computers,Data Storage,USB Flash Drives","₦ 8,750","₦ 11,990",27%
24,128gb-ultra-dual-usb-type-c-otg-sdddc2-128g-g46-sandisk-mpg1576679.html,2022-11-25 06:03:40.577731,1,SanDisk 128GB Ultra Dual USB Type-C OTG  (SDDDC2-128G-G46),"Computing,Computers,Data Storage,USB Flash Drives","₦ 10,800","₦ 12,500",14%
25,128m-m2-miracast-any-cast-wireless-dlna-airplay-mirror-hdmi-tv-stick-wifi-display-for-ios-android-anycast-mpg1595282.html,2022-11-25 06:12:06.022450,0,Anycast 128M M2 Miracast Any Cast Wireless DLNA AirPlay Mirror HDMI TV Stick Wifi Display For IOS Android,"Electronics,Accessories & Supplies,Audio & Video Accessories,Cables,HDMI Cables","₦ 6,980","₦ 9,450",26%
26,14-42-inches-ledlcd-tv-wall-hangerbracket-d-marc-universal-tv-guard-surge-adapter-d-marc-mpg347006.html,2022-11-25 06:16:57.320044,0,D-Marc 14-42 Inches LED/LCD TV Wall Hanger/Bracket + D-marc Universal TV Guard Surge Adapter,"Electronics,Accessories & Supplies,Audio & Video Accessories,TV Accessories & Parts","₦ 5,400",,
27,15.6-inch-value-topload-case-hp-mpg123014.html,2022-11-25 06:04:24.560560,1,Hp 15.6 Inch Value Topload Case,"Computing,Computers,Laptop Accessories,Bags, Cases & Sleeves","₦ 8,100","₦ 9,000",10%
28,15000mah-power-bank-black-new-age-mpg1668976.html,2022-11-25 06:16:02.168282,0,New Age 15000mAh Power Bank (Black),"Phones & Tablets,Mobile Phone Accessories,Batteries & Battery Packs,Portable Power Banks","₦ 5,900","₦ 7,729",24%
29,15amps-ac-guard-for-surge-protection-d-marc-mpg292188.html,2022-11-25 06:17:10.603135,0,D-Marc 15Amps AC Guard For Surge Protection,"Electronics,Accessories & Supplies,Power Protection,Surge Protectors","₦ 5,400","₦ 5,500",2%
30,15mm5m-glow-in-the-dark-tape-luminous-tape-self-adhesive-generic-mpg1676890.html,2022-11-25 06:24:26.973976,1,15mm*5m Glow In The Dark Tape Luminous Tape Self-adhesive,"Home & Office,Office Products,Office & School Supplies,Tape, Adhesives & Fasteners,Tape,Duct Tape","₦ 1,899","₦ 3,724",49%
31,16-inch-powerful-super-cool-quiet-standing-fan-a-1691-binatone-mpg1662353.html,2022-11-25 06:24:27.602055,1,"Binatone 16-Inch Powerful Super Cool Quiet Standing Fan, Adjustable Standing , 5 Speed Setting with One Year Warranty","Home & Office,Home & Kitchen,Heaters, Air Cooling & Purification,Household Fans,Standing Fans","₦ 21,000",,
32,16-inch-rechargeable-fan-40d-with-remote-and-led-light-century-mpg1238301.html,2022-11-25 06:21:04.244206,0,Century 16-Inch Rechargeable Fan - 40D With Remote And LED Light,"Home & Office,Home & Kitchen,Heaters, Air Cooling & Purification,Household Fans,Rechargeable Fans","₦ 43,995","₦ 55,000",20%
33,16-inch-rechargeable-standing-fan-with-remote-control-white-lontor-mpg51297.html,2022-11-25 06:23:32.616801,1,Lontor 16 Inch Rechargeable Standing Fan With Remote Control & Usb CTL-CF020RU,"Home & Office,Home & Kitchen,Heaters, Air Cooling & Purification,Household Fans,Rechargeable Fans","₦ 37,500","₦ 43,299",13%
34,16-inches-rechargeable-fan-remote-control-qrf-5916hr-qasa-mpg1675262.html,2022-11-25 06:24:30.584950,1,Qasa 16 Inches Rechargeable Fan + Remote Control QRF-5916HR,"Home & Office,Home & Kitchen,Heaters, Air Cooling & Purification,Household Fans,Rechargeable Fans","₦ 39,300","₦ 46,000",15%
35,17a-black-laserjet-toner-cartridge-eastbuy-mpg195963.html,2022-11-25 06:10:33.983894,0,17a Black LaserJet Toner Cartridge,"Computing,Computer Accessories,Printer Ink & Toner","₦ 8,000",,
36,18-channel-cctv-power-supply-dc-12v.-with-splitter-fuse-box-cctv-mpg1240601.html,2022-11-25 06:17:36.516169,0,"Cctv 18 Channel CCTV Power Supply DC 12V. With Splitter Fuse Box,","Electronics,Accessories & Supplies,Power Protection,Uninterrupted Power Supply (UPS)","₦ 17,700","₦ 19,000",7%
37,18-inch-445mm-wall-fan-bb-mpg1432156.html,2022-11-25 06:19:45.665751,0,BB 18 Inch (445MM) WALL FAN,"Home & Office,Home & Kitchen,Heaters, Air Cooling & Purification,Household Fans,Wall-Mounted Fans","₦ 17,599",,
38,18-inch-plus-rechargeable-standing-fan-wit-remote-control.-ox-mpg1662251.html,2022-11-25 06:22:03.460079,1,Ox 18-Inch Plus Rechargeable Standing Fan Wit Remote Control.,"Home & Office,Home & Kitchen,Heaters, Air Cooling & Purification,Household Fans,Rechargeable Fans","₦ 40,000","₦ 50,000",20%
39,18-rechargeable-fanremoteled-light-blackred-century-mpg1266625.html,2022-11-25 06:17:12.905603,0,"Century 18"" Rechargeable Fan+Remote+LED Light RED/BLACK","Home & Office,Home & Kitchen,Heaters, Air Cooling & Purification,Household Fans,Standing Fans","₦ 43,990","₦ 65,000",32%
40,18.5v-3.5a-small-mouth-laptop-charger-with-power-cord-adapter-mpg1517256.html,2022-11-25 06:10:47.089022,0,Hp 18.5V 3.5A Small Mouth Laptop Charger With Power Cord,"Computing,Computers,Laptop Accessories,Chargers & Adapters","₦ 5,100","₦ 6,500",22%
41,18163264gb-rotary-usb-2.0-flash-drive-memory-stick-black-generic-mpg1662838.html,2022-11-25 06:03:19.890443,1,UWY USB Flash Drive 64GB Pen USB 2.0 Metal High Speed  OTG,"Computing,Computers,Data Storage,USB Flash Drives","₦ 2,081","₦ 3,900",47%
